sorting_algos,random_array,asc_array,alm_asc_array,desc_array,dense_array,sparse_array
bubble_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.125095
cocktail_sort, 0.000000, 0.000000, 0.000000, 3.130770, 3.120470, 0.000000
comb_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
selection_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.125381
double_selection_sort, 3.125238, 0.000000, 0.000000, 0.000000, 0.000000, 3.125334
insertion_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
shell_sort, 0.000000, 0.000000, 0.000000, 0.000000, 3.130150, 0.000000
gnome_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
merge_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
quick_sort2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
heap_sort1, 0.000000, 0.000000, 0.000000, 3.125381, 0.000000, 0.000000
counting_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
bucket_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
radix_sort, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.125381
sorted, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
